9/2/2016,1:10 PM,Nitabach,reinstalling PySolo,
9/2/2016,1:20 PM,Reiser,box experiment,
9/2/2016,1:30 PM,Nitabach,reinstalling PySolo,
9/2/2016,1:40 PM,Reiser,box experiment,
9/2/2016,2:00 PM,Nitabach,PS-V user interface,
9/2/2016,2:20 PM,Reiser,box experiment,
9/2/2016,2:40 PM,Nitabach,PS-V user interface,
9/2/2016,3:05 PM,Reiser,box experiment,
9/2/2016,3:10 PM,Nitabach,PS Acquire user interface,
9/2/2016,5:30 PM,depart,,
9/6/2016,9:01 AM,Nitabach,understanding data,
9/6/2016,10:12 AM,PTR Chores,email; calendar,
9/6/2016,10:35 AM,XZ Prep,email,20160810_100_20X_XZ-2
9/6/2016,10:40 AM,Nitabach,acquire,
9/6/2016,12:00 PM,lunch,,
9/6/2016,12:30 PM,Reiser,analysis,
9/6/2016,12:40 PM,lunch,,
9/6/2016,1:15 PM,Other Imaging,planning,
9/6/2016,3:00 PM,SH Setup,,20160816_100_20X_SH
9/6/2016,4:41 PM,Nitabach,report,
9/6/2016,5:50 PM,depart,,
9/7/2016,8:00 AM,SH Post,"remove, copy, tbls, MIPs, QC, slidemap",20160816_100_20X_SH
9/7/2016,9:10 AM,Other Imaging,migrating files on drives,
9/7/2016,9:25 AM,SH Post,email,
9/7/2016,9:50 AM,PTR Chores,email; calendar,
9/7/2016,10:25 AM,Reiser,analysis troubleshooting,
9/7/2016,11:00 AM,lunch,,
9/7/2016,11:30 AM,Reiser,analysis troubleshooting,
9/7/2016,11:50 AM,Other Imaging,migrating files on drives,
9/7/2016,12:00 PM,classes & training,FlyLight Lecture,
9/7/2016,1:00 PM,Reiser,sort,
9/7/2016,2:30 PM,GI Meeting,,
9/7/2016,3:00 PM,Group Meeting,,
9/7/2016,3:44 PM,Other Imaging,calendars,
9/7/2016,5:30 PM,depart,,
9/8/2016,11:10 AM,Nitabach,test tracking,
9/8/2016,11:26 AM,PTR Chores,email; calendar,
9/8/2016,12:06 PM,SH Post,rename files,20160811_100_20X_SH
9/8/2016,12:20 PM,GI Meeting,,tdTomato & Frozen
9/8/2016,1:00 PM,Nitabach,troubleshoot data,
9/8/2016,1:26 PM,SH Post,rename files,20160816_100_20X_SH
9/8/2016,2:00 PM,Reiser,troubleshooting analysis,
9/8/2016,2:40 PM,Nitabach,troubleshooting tracking,
9/8/2016,3:00 PM,GI Prep,,tdTomato & Frozen
9/8/2016,4:00 PM,GI Setup,,Frozen
9/8/2016,5:00 PM,lunch,,
9/8/2016,6:00 PM,SH Setup,,20160811_100_20X_SH-2
9/8/2016,7:00 PM,depart,,
9/9/2016,8:00 AM,XZ Setup,,20160810_101_20X_XZ-2
9/9/2016,8:31 AM,PTR Chores,email; calendar,
9/9/2016,8:45 AM,Nitabach,tracking data,
9/9/2016,9:53 AM,Reiser,analysis troubleshooting,
9/9/2016,10:10 AM,GI Meeting,,
9/9/2016,11:00 AM,Reiser,analysis troubleshooting,
9/9/2016,11:30 AM,lunch,,
9/9/2016,12:00 PM,Reiser,experiment,
9/9/2016,12:30 PM,Reiser,analysis troubleshooting,
9/9/2016,12:44 PM,Reiser,experiment,
9/9/2016,1:30 PM,PTR Chores,chargebacks,
9/9/2016,1:40 PM,Reiser,experiment,
9/9/2016,2:00 PM,XZ Post,,20160810_101_20X_XZ-2
9/9/2016,2:40 PM,Reiser,experiment,
9/9/2016,2:50 PM,SH Post,,20160811_100_20X_SH-2
9/9/2016,3:35 PM,Reiser,analysis troubleshooting,
9/9/2016,3:55 PM,XZ Post,slidemap email,20160810_101_20X_XZ-2
9/9/2016,4:10 PM,Reiser,analysis troubleshooting,
9/9/2016,4:15 PM,SH Post,rename files,20160811_100_20X_SH-2
9/9/2016,4:50 PM,Reiser,email update,
9/9/2016,5:00 PM,depart,,
9/11/2016,6:44 PM,XZ Prep,,20160830_101_20X_XZ
9/11/2016,7:30 PM,lunch,,
9/11/2016,8:30 PM,SH Post,write script for renaming files,
9/11/2016,11:00 PM,XZ Setup,,20160830_101_20X_XZ
9/11/2016,11:45 PM,depart,,
9/12/2016,9:40 AM,Nitabach,PS acquire,
9/12/2016,9:45 AM,XZ Post,,20160830_101_20X_XZ
9/12/2016,10:50 AM,PTR Chores,chargebacks,
9/12/2016,11:10 AM,GI Meeting,XZ project 54,20160830_101_20X_XZ
9/12/2016,11:25 AM,PTR Chores,chargebacks,
9/12/2016,11:40 AM,XZ Post,,20160830_101_20X_XZ
9/12/2016,11:50 AM,Other Imaging,update resource scheduler,
9/12/2016,12:00 PM,classes & training,Women's Coding Circle,
9/12/2016,12:50 PM,Group Meeting,team meeting,
9/12/2016,1:35 PM,PTR Chores,email; calendar,
9/12/2016,1:45 PM,GI Prep,,tdTomato
9/12/2016,2:00 PM,GI Setup,,tdTomato
9/12/2016,3:10 PM,XZ Setup,,20160810_100_20X_XZ-2
9/12/2016,3:50 PM,XZ Prep,,20160830_100_20X_XZ
9/12/2016,4:20 PM,PTR Chores,chargebacks,
9/12/2016,5:00 PM,Other Imaging,PTR-IHC Smartsheet,
9/12/2016,5:20 PM,SH Post,,20160816_100_20X_SH
9/12/2016,6:00 PM,GI Setup,,Frozen
9/12/2016,6:30 PM,XZ Setup,,20160830_100_20X_XZ
9/12/2016,7:15 PM,depart,,
9/13/2016,8:00 AM,XZ Post,,20160830_100_20X_XZ
9/13/2016,8:10 AM,PTR Chores,email; calendar,
9/13/2016,8:20 AM,XZ Post,,20160830_100_20X_XZ
9/13/2016,8:40 AM,XZ Post,,20160810_100_20X_XZ-3
9/13/2016,9:00 AM,XZ Post,,20160810_100_20X_XZ-2
9/13/2016,9:20 AM,XZ Post,,20160830_101_20X_XZ
9/13/2016,9:40 AM,XZ Post,,20160810_101_20X_XZ
