10/6/2016,12:30 PM,Nitaback,,,0.5,,
10/6/2016,2:00 PM,Nitaback,,,2,,
10/6/2016,4:45 PM,Nitaback,,,1,3.5,
10/6/2016,10:50 AM,Other Imaging,future calendar,,0.25,0.25,
10/6/2016,10:40 AM,PTR Chores,email; calendars,,0.25,0.25,
10/6/2016,12:05 PM,SH Prep,meeting,,0.5,,
10/6/2016,1:00 PM,SH Prep,meeting,,1,,
10/6/2016,11:05 AM,SH Prep,,20160915_100_20X_SH-2,0.25,,
10/6/2016,11:20 AM,SH Prep,,20160922_101_20X_SH,0.25,2,
10/7/2016,5:30 PM,depart,,,0,0,
10/7/2016,10:45 AM,GI Meeting,,,1.5,1.5,
10/7/2016,8:00 AM,Nitaback,,,2,2,
10/7/2016,3:15 PM,Other Imaging,calendar updates,,2.25,2.25,
10/7/2016,10:00 AM,PTR Chores,email; calendars,,0.5,0.5,
10/7/2016,12:10 PM,Reiser,experiment,,3,3,
10/7/2016,10:30 AM,SH Prep,,20160915_100_20X_SH,0.25,0.25,
10/10/2016,5:00 PM,depart,,,0,0,
10/10/2016,9:00 AM,PTO,,,8,8,
10/11/2016,5:00 PM,depart,,,0,0,
10/11/2016,9:00 AM,PTO,,,8,8,
10/12/2016,5:30 PM,depart,,,0,0,
10/12/2016,4:30 PM,GI Meeting,,,1,1,
10/12/2016,11:35 AM,lunch,,,0,0,
10/12/2016,10:40 AM,Nitaback,,,1,,
10/12/2016,12:05 PM,Nitaback,,,1.5,2.5,
10/12/2016,8:45 AM,Other Imaging,calendars,,2,2,
10/12/2016,8:30 AM,PTR Chores,email; calendars,,0.25,0.25,
10/12/2016,1:30 PM,Reiser,sort,,3,3,
10/13/2016,8:19 PM,depart,,,0,0,
10/13/2016,2:40 PM,GI Meeting,,,0.25,0.25,
10/13/2016,11:40 AM,lunch,,,0,,
10/13/2016,4:00 PM,lunch,,,0,0,
10/13/2016,3:20 PM,Nitaback,,,0.75,,
10/13/2016,5:00 PM,Nitaback,,,1,1.75,
10/13/2016,12:10 PM,Other Imaging,disk space (SH),,1.5,,
10/13/2016,3:00 PM,Other Imaging,w/Aaron 3 track spd,,0.25,1.75,
10/13/2016,10:50 AM,PTR Chores,email; calendars,,0.25,,
10/13/2016,11:00 AM,PTR Chores,timesheet,,0,0.25,
10/13/2016,11:05 AM,SH Prep,,20160915_100_20X_SH-2,0.5,,
10/13/2016,1:45 PM,SH Prep,,20160915_100_20X_SH-2,1,1.5,
10/13/2016,6:00 PM,SH Setup,,20160915_100_20X_SH-2,2.25,2.25,
10/14/2016,5:45 PM,depart,,,0,0,
10/14/2016,10:45 AM,GI Meeting,,,1,,
